player_id,player_name,position,age,birth_year,draft_year,draft_round,draft_pick,draft_ovr,height,weight,season,season_type,team,conference,division,shotgun,no_huddle,qb_dropback,qb_scramble,pass_attempts,complete_pass,incomplete_pass,passing_yards,receiving_yards,yards_after_catch,rush_attempts,rushing_yards,tackled_for_loss,first_down_pass,first_down_rush,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,rush_touchdown,pass_touchdown,safety,interception,fumble,fumble_lost,fumble_forced,fumble_not_forced,fumble_out_of_bounds,receptions,targets,passing_air_yards,receiving_air_yards,receiving_touchdown,pass_attempts_redzone,complete_pass_redzone,pass_touchdown_redzone,pass_attempts_gtg,complete_pass_gtg,pass_touchdown_gtg,receptions_redzone,targets_redzone,receiving_touchdown_redzone,receptions_gtg,targets_gtg,receiving_touchdown_gtg,rush_attempts_redzone,rush_touchdown_redzone,rush_attempts_gtg,rush_touchdown_gtg,offense_snaps,team_offense_snaps,total_tds,touches,total_yards,depth_team,games_missed,offense_pct,age2,years_exp,games_played_season,games_played_career,season_shotgun,season_no_huddle,season_qb_dropback,season_qb_scramble,season_pass_attempts,season_complete_pass,season_incomplete_pass,season_passing_yards,season_receiving_yards,season_yards_after_catch,season_rush_attempts,season_rushing_yards,season_tackled_for_loss,season_first_down_pass,season_first_down_rush,season_third_down_converted,season_third_down_failed,season_fourth_down_converted,season_fourth_down_failed,season_rush_touchdown,season_pass_touchdown,season_safety,season_interception,season_fumble,season_fumble_lost,season_fumble_forced,season_fumble_not_forced,season_fumble_out_of_bounds,season_receptions,season_targets,season_passing_air_yards,season_receiving_air_yards,season_receiving_touchdown,season_pass_attempts_redzone,season_complete_pass_redzone,season_pass_touchdown_redzone,season_pass_attempts_gtg,season_complete_pass_gtg,season_pass_touchdown_gtg,season_receptions_redzone,season_targets_redzone,season_receiving_touchdown_redzone,season_receptions_gtg,season_targets_gtg,season_receiving_touchdown_gtg,season_rush_attempts_redzone,season_rush_touchdown_redzone,season_rush_attempts_gtg,season_rush_touchdown_gtg,season_fantasy_points_ppr,season_fantasy_points_standard,season_offense_snaps,season_team_offense_snaps,season_total_tds,season_touches,season_total_yards,season_average_pass_touchdown_redzone,career_average_pass_touchdown_redzone,season_average_pass_attempts_gtg,career_average_pass_attempts_gtg,season_average_complete_pass_gtg,career_average_complete_pass_gtg,season_average_pass_touchdown_gtg,career_average_pass_touchdown_gtg,season_average_receptions_redzone,career_average_receptions_redzone,season_average_targets_redzone,career_average_targets_redzone,season_average_receiving_touchdown_redzone,career_average_receiving_touchdown_redzone,season_average_receptions_gtg,career_average_receptions_gtg,season_average_targets_gtg,career_average_targets_gtg,season_average_receiving_touchdown_gtg,career_average_receiving_touchdown_gtg,season_average_rush_attempts_redzone,career_average_rush_attempts_redzone,season_average_rush_touchdown_redzone,career_average_rush_touchdown_redzone,season_average_rush_attempts_gtg,career_average_rush_attempts_gtg,season_average_rush_touchdown_gtg,career_average_rush_touchdown_gtg,season_average_fantasy_points_ppr,career_average_fantasy_points_ppr,season_average_fantasy_points_standard,career_average_fantasy_points_standard,season_average_offense_snaps,career_average_offense_snaps,season_average_team_offense_snaps,career_average_team_offense_snaps,season_average_total_tds,career_average_total_tds,season_average_touches,career_average_touches,season_average_total_yards,career_average_total_yards,season_comp_pct,season_int_pct,season_pass_touchdown_pct,season_ypa,season_rec_td_pct,season_yptarget,season_ypr,season_rush_td_pct,season_ypc,season_td_pct,season_yptouch,season_pass_ypg,season_rec_ypg,season_rush_ypg,season_ypg,season_average_ppr_ppg,season_average_standard_ppg,career_comp_pct,career_int_pct,career_pass_touchdown_pct,career_ypa,career_rec_td_pct,career_yptarget,career_ypr,career_rush_td_pct,career_ypc,career_td_pct,career_yptouch,career_pass_ypg,career_rec_ypg,career_rush_ypg,career_ypg,career_average_ppr_ppg,career_average_standard_ppg,passer_rating,adot,comp_pct,int_pct,pass_td_pct,ypa,rec_td_pct,yptarget,ayptarget,ypr,rush_td_pct,ypc,td_pct,yptouch,,,,,,
00-0035676,A.J. Brown,WR,22,1997,2019,2,19,51,73,226,2019,REG,TEN,AFC,South,53,15,84,0,0,0,0,0,1051,465,3,60,1,39,2,7,15,0,2,1,8,0,2,1,0,1,0,1,52,82,0,1107,8,0,0,0,0,0,0,5,8,4,1,1,1,0,0,0,0,678,993,17,55,1111,2,0,0.6827794561933535,22,0,16,16,53,15,84,0,0,0,0,0,1051,465,3,60,1,39,2,7,15,0,2,1,8,0,2,1,0,1,0,1,52,82,0,1107,8,0,0,0,0,0,0,5,8,4,1,1,1,0,0,0,0,213.1,161.1,678,993,1.06,3.44,69.44,0,,0,,0,,0,,0.31,,0.5,,0.25,,0.06,,0.06,,0.06,,0,,0,,0,,0,,13.32,,10.07,,42.38,,62.06,,1.06,,3.44,,69.44,,,,,,0.098,12.82,20.21,0.333,20,0.31,20.19,0,65.69,3.75,4.34,13.32,10.07,,,,,0.098,12.82,20.21,0.333,20,0.31,20.19,0,65.69,3.75,4.34,13.32,10.07,0,13.5,,0,0,,0.098,12.82,13.5,20.21,0.333,20,0.31,20.2,,,,,,
00-0035676,A.J. Brown,WR,23,1997,2019,2,19,51,73,226,2020,REG,TEN,AFC,South,71,17,106,0,0,0,0,0,1075,432,0,0,0,55,0,17,15,0,0,1,11,0,2,2,1,2,0,0,70,104,0,1150,11,0,0,0,0,0,0,9,11,7,2,2,2,0,0,0,0,760,937,23,70,1075,1,2,0.8110992529348986,23,1,14,30,71,17,106,0,0,0,0,0,1075,432,0,0,0,55,0,17,15,0,0,1,11,0,2,2,1,2,0,0,70,104,0,1150,11,0,0,0,0,0,0,9,11,7,2,2,2,0,0,0,0,242.5,172.5,760,937,1.64,5,76.79,0,0,0,0,0,0,0,0,0.64,14,0.79,19,0.5,11,0.14,3,0.14,3,0.14,3,0,0,0,0,0,0,0,0,17.32,455.6,12.32,333.6,54.29,1438,66.93,1930,1.64,40,5,125,76.79,2186,,,,,0.106,10.34,15.36,,,0.33,15.36,0,76.79,0,5.48,17.32,12.32,,,,,0.102,11.43,17.43,0.667,20,0.32,17.47,0,70.87,2,2.43,15.19,11.12,0,11.058,,0,0,,0.106,10.34,11.06,15.36,0,,0.33,15.36,,,,,,
00-0035676,A.J. Brown,WR,24,1997,2019,2,19,51,73,226,2021,REG,TEN,AFC,South,47,12,85,0,1,0,1,0,683,202,2,10,0,35,1,10,14,1,1,0,4,0,2,0,0,0,0,0,50,82,15,929,4,0,0,0,0,0,0,4,8,2,0,2,0,1,0,0,0,518,744,8,53,693,1,6,0.696236559,24,2,11,41,47,12,85,0,1,0,1,0,683,202,2,10,0,35,1,10,14,1,1,0,4,0,2,0,0,0,0,0,50,82,15,929,4,0,0,0,0,0,0,4,8,2,0,2,0,1,0,0,0,139.3,89.3,518,744,0.73,4.82,63,0,0,0,0,0,0,0,0,0.36,9,0.73,13.5,0.18,6.5,0,1.5,0.18,2.5,0,1.5,0.09,0.5,0,0,0,0,0,0,12.66,297.45,8.12,211.45,47.09,978,67.64,1337,0.73,24,4.82,89,63,1439.5,0,2,4,0,0.049,8.33,13.66,0,5,0.15,13.07,0,62.09,0.91,5.73,12.66,8.12,0,6,23,0,0.086,10.48,16.33,0.4,14,0.27,16.18,0,68.51,1.71,1.71,14.51,10.31,158.3,11.329,0,2,4,0,0.049,8.33,11.33,13.66,0,5,0.15,13.08,,,,,,
00-0035676,A.J. Brown,WR,25,1997,2019,2,19,51,73,226,2022,REG,PHI,NFC,East,142,24,145,0,0,0,0,0,1496,552,0,0,0,59,0,15,15,2,5,0,11,0,3,2,2,2,0,0,88,142,0,1750,11,0,0,0,0,0,0,8,16,4,0,4,0,0,0,0,0,1004,1179,22,88,1496,1,0,0.8515691263782866,25,3,17,58,142,24,145,0,0,0,0,0,1496,552,0,0,0,59,0,15,15,2,5,0,11,0,3,2,2,2,0,0,88,142,0,1750,11,0,0,0,0,0,0,8,16,4,0,4,0,0,0,0,0,291.6,203.6,1004,1179,1.29,5.18,88,0,0,0,0,0,0,0,0,0.47,8.67,0.94,14.33,0.24,5.67,0,1,0.24,3,0,1,0,0.33,0,0,0,0,0,0,17.15,295.5,11.98,208.83,59.06,986.67,69.35,1284.33,1.29,23.33,5.18,88.67,88,1458.33,,,,,0.077,10.54,17,,,0.25,16.99,0,88,0,5.18,17.15,11.98,0,9,34,0,0.083,10.5,16.56,0.4,14,0.26,16.43,0,74.22,1.21,1.3,15.28,10.8,0,12.324,,0,0,,0.077,10.54,12.32,17,,,0.25,17,,,,,,
00-0035676,A.J. Brown,WR,26,1997,2019,2,19,51,73,226,2023,REG,PHI,NFC,East,157,21,158,0,0,0,0,0,1456,473,0,0,0,70,0,22,17,2,0,0,7,0,4,2,2,2,0,0,106,154,0,1853,7,0,0,0,0,0,0,10,17,4,2,4,2,0,0,0,0,1019,1149,14,106,1456,1,0,0.886858138,26,4,17,75,157,21,158,0,0,0,0,0,1456,473,0,0,0,70,0,22,17,2,0,0,7,0,4,2,2,2,0,0,106,154,0,1853,7,0,0,0,0,0,0,10,17,4,2,4,2,0,0,0,0,279.6,173.6,1019,1149,0.82,6.24,85.65,0,0,0,0,0,0,0,0,0.59,9,1,15,0.24,5.25,0.12,1.25,0.24,3.25,0.12,1.25,0,0.25,0,0,0,0,0,0,16.45,291.52,10.21,200.02,59.94,994.75,67.59,1250.5,0.82,21,6.24,93,85.65,1457.75,,,,,0.045,9.45,13.74,,,0.13,13.73,0,85.65,0,5.04,16.45,10.21,0,13,41,0,0.073,10.21,15.74,0.4,14,0.23,15.68,0,76.81,0.93,1.04,15.55,10.67,0,12.032,,0,0,,0.045,9.45,12.03,13.74,,,0.13,13.74,,,,,,
00-0035676,A.J. Brown,WR,27,1997,2019,2,19,51,73,226,2024,REG,PHI,NFC,East,90,26,97,0,0,0,0,0,1079,353,0,0,0,51,0,15,14,2,1,0,7,0,2,0,0,0,0,0,67,95,0,1168,7,0,0,0,0,0,0,7,10,4,2,2,2,0,0,0,0,766,889,14,67,1079,1,4,0.8616422947131609,27,5,13,88,90,26,97,0,0,0,0,0,1079,353,0,0,0,51,0,15,14,2,1,0,7,0,2,0,0,0,0,0,67,95,0,1168,7,0,0,0,0,0,0,7,10,4,2,2,2,0,0,0,0,212.9,145.9,766,889,1.08,5.15,83,0,0,0,0,0,0,0,0,0.54,8.6,0.77,14,0.31,5,0.15,1.4,0.15,3,0.15,1.4,0,0.2,0,0,0,0,0,0,16.38,275.8,11.22,189.2,58.92,949,68.38,1178.2,1.08,19.6,5.15,87.8,83,1382,,,,,0.074,11.36,16.1,,,0.21,16.12,0,83,0,6.38,16.38,11.22,0,15,48,0,0.073,10.38,15.8,0.4,14,0.22,15.74,0,77.73,0.8,0.89,15.67,10.75,0,12.295,,0,0,,0.074,11.36,12.29,16.1,,,0.21,16.1,,,,,,
00-0036265,A.J. Dillon,RB,22,1998,2020,2,30,62,72,247,2020,REG,GB,NFC,North,20,0,2,0,0,0,0,0,21,16,45,224,2,1,10,5,0,1,0,2,0,0,0,0,0,0,0,0,2,2,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,4,1,0,0,92,518,2,47,245,3,8,0.1776061776061776,22,0,8,8,20,0,2,0,0,0,0,0,21,16,45,224,2,1,10,5,0,1,0,2,0,0,0,0,0,0,0,0,2,2,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,4,1,0,0,38.5,36.5,92,518,0.25,5.88,30.62,0,,0,,0,,0,,0.12,,0.12,,0,,0,,0,,0,,0.5,,0.12,,0,,0,,4.81,,4.56,,11.5,,64.75,,0.25,,5.88,,30.62,,,,,,0,10.5,10.5,0.044,4.98,0.04,5.21,0,2.62,28,3.83,4.81,4.56,,,,,0,10.5,10.5,0.044,4.98,0.04,5.21,0,2.62,28,3.83,4.81,4.56,0,2.5,,,,,0,10.5,2.5,10.5,0.044,4.98,0.04,5.21,,,,,,
00-0036265,A.J. Dillon,RB,23,1998,2020,2,30,62,72,247,2021,REG,GB,NFC,North,105,2,37,0,0,0,0,0,313,310,187,803,8,15,50,12,7,2,0,5,2,0,0,2,1,2,0,0,34,37,0,14,2,0,0,0,0,0,0,5,5,2,1,1,1,41,5,11,4,476,1117,9,221,1116,2,0,0.4261414503133393,23,1,17,25,105,2,37,0,0,0,0,0,313,310,187,803,8,15,50,12,7,2,0,5,2,0,0,2,1,2,0,0,34,37,0,14,2,0,0,0,0,0,0,5,5,2,1,1,1,41,5,11,4,184.6,150.6,476,1117,0.53,13,65.65,0,0,0,0,0,0,0,0,0.29,6,0.29,6,0.12,2,0.06,1,0.06,1,0.06,1,2.41,45,0.29,6,0.65,11,0.24,4,10.86,223.1,8.86,187.1,28,568,65.71,1635,0.53,11,13,268,65.65,1361,,,,,0.054,8.46,9.21,0.027,4.29,0.04,5.05,0,18.41,47.24,3.86,10.86,8.86,,,,,0.051,8.56,9.28,0.03,4.43,0.04,5.08,0,13.36,41.08,2.18,8.92,7.48,0,0.378,,,0,,0.054,8.46,0.38,9.21,0.027,4.29,0.04,5.05,,,,,,
00-0036265,A.J. Dillon,RB,24,1998,2020,2,30,62,72,247,2022,REG,GB,NFC,North,143,2,43,0,0,0,0,0,206,203,186,770,9,9,47,11,15,2,1,7,0,0,0,1,0,1,0,1,28,43,0,17,0,0,0,0,0,0,0,2,4,0,0,1,0,28,6,10,4,537,1089,7,214,976,2,0,0.4931129476584022,24,2,17,42,143,2,43,0,0,0,0,0,206,203,186,770,9,9,47,11,15,2,1,7,0,0,0,1,0,1,0,1,28,43,0,17,0,0,0,0,0,0,0,2,4,0,0,1,0,28,6,10,4,167.6,139.6,537,1089,0.41,12.59,57.41,0,0,0,0,0,0,0,0,0.12,4,0.24,5,0,1,0,0.5,0.06,1,0,0.5,1.65,36.5,0.35,6,0.59,10.5,0.24,4,9.86,195.35,8.21,163.35,31.59,552.5,64.06,1362,0.41,9,12.59,241,57.41,1168.5,,,,,0,4.79,7.36,0.038,4.14,0.03,4.56,0,12.12,45.29,3.38,9.86,8.21,,,,,0.024,6.59,8.44,0.033,4.3,0.04,4.85,0,12.86,42.79,1.32,9.3,7.78,0,0.395,,,,,0,4.79,0.4,7.36,0.038,4.14,0.03,4.56,,,,,,
00-0036265,A.J. Dillon,RB,25,1998,2020,2,30,62,72,247,2023,REG,GB,NFC,North,121,8,28,0,0,0,0,0,223,231,178,613,15,10,32,12,11,2,1,2,0,0,0,0,0,0,0,0,22,28,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,36,2,10,2,494,980,2,200,836,2,2,0.5040816326530613,25,3,15,57,121,8,28,0,0,0,0,0,223,231,178,613,15,10,32,12,11,2,1,2,0,0,0,0,0,0,0,0,22,28,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,36,2,10,2,117.6,95.6,494,980,0.13,13.33,55.73,0,0,0,0,0,0,0,0,0.07,3,0.07,3.67,0,0.67,0,0.33,0,0.67,0,0.33,2.4,36.33,0.13,4.67,0.67,10.33,0.13,3.33,7.84,169.43,6.37,140.77,32.93,533,65.33,1234.67,0.13,6.67,13.33,227.33,55.73,1057.67,,,,,0,7.96,10.14,0.011,3.44,0.01,4.18,0,14.87,40.87,3.72,7.84,6.37,,,,,0.018,6.94,8.87,0.027,4.04,0.03,4.65,0,13.39,42.28,0.98,8.92,7.41,0,0.036,,,,,0,7.96,0.04,10.14,0.011,3.44,0.01,4.18,,,,,,
